formation,location,name,periode,startDate
"Bac+3, FLSH Rabat",  Rabat,Stagiaire en Marketing &amp; Communication ,3 mois,01/02/2023
"Bac+5, Univ. Abdelmale…",  Témara,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/01/2023
"Bac+5, FSJES Ain Sebaa",  Casablanca,Stagiaire en Ingénierie en Finance et Actuariat ,6 mois,02/01/2023
"Bac+2, ISTA ",  Meknès,Stagiaire en Génie Électrique ,1 mois,01/01/2023
"Bac+5, ENCG Fès",  Fès,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/01/2023
"Bac+5, FST Guéliz",  Tanalt,Stagiaire en Génie Électrique ,4 mois,28/12/2022
"Bac+1, SUPEMIR",  Casablanca,Stagiaire en Gestion des achats ,1 mois,01/02/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Economie et gestion ,3 mois,28/12/2022
"Bac+4, Univ. Mohammed …",  Rabat,Stagiaire en Supply Chain ,3 mois,07/01/2024
"Bac+5, ENSET Mohammedi…",  Midar,Stagiaire en Contrôle de gestion ,6 mois,01/01/2023
"Bac+5, FSJES Ain Sebaa",  Rabat,Stagiaire en Comptabilité Audit et Finance ,3 mois,15/01/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Analyse Financière ,4 mois,16/01/2023
"Bac+3, ENCG Casablanca",  Casablanca,Stagiaire en Commerce International ,1 mois,16/01/2023
"Bac+2, Autre",  Tignieu,"Stagiaire en Médecine, Pharmacie &amp; Sciences de la Santé ",2 mois,30/05/2023
"Bac+1, ISBTP ",  Settat,Stagiaire en Génie Civil ,1 mois,01/03/2023
"Bac+5, ENCG Oujda",  Berkane,Stagiaire en Contrôle de gestion ,5 mois,15/01/2023
"Bac+3, EST Oujda",  Errachidia,Stagiaire en Génie Électrique ,4 mois,28/12/2022
"Bac+3, Autre",  Taroudant,"Stagiaire en Physique, Chimie &amp; Biologie ",4 mois,05/01/2023
"Bac+2, ISTA ",  Azrou,"Stagiaire en BTP, Construction &amp; Architecture ",3 mois,01/01/2023
